"Step","dulcet-rain-4 - train/sigreg","dulcet-rain-4 - train/sigreg__MIN","dulcet-rain-4 - train/sigreg__MAX"
"11296","4.21875","4.21875","4.21875"
"11315","4","4","4"
"11338","4.09375","4.09375","4.09375"
"11343","4.34375","4.34375","4.34375"
"11347","4.375","4.375","4.375"
"11353","4.15625","4.15625","4.15625"
"11392","4.1875","4.1875","4.1875"
"11411","4.40625","4.40625","4.40625"
"11503","4.40625","4.40625","4.40625"
"11557","4.03125","4.03125","4.03125"
"11568","3.984375","3.984375","3.984375"
"11570","4.03125","4.03125","4.03125"
"11590","4.40625","4.40625","4.40625"
"11603","4.46875","4.46875","4.46875"
"11629","4.4375","4.4375","4.4375"
"11633","3.96875","3.96875","3.96875"
"11646","4.15625","4.15625","4.15625"
"11668","3.640625","3.640625","3.640625"
"11671","3.703125","3.703125","3.703125"
"11686","4.53125","4.53125","4.53125"
"11708","4.125","4.125","4.125"
"11711","3.859375","3.859375","3.859375"
"11781","4.3125","4.3125","4.3125"
"11836","3.90625","3.90625","3.90625"
"11853","4.53125","4.53125","4.53125"
"11919","4.125","4.125","4.125"
"11979","3.328125","3.328125","3.328125"
"12028","4.15625","4.15625","4.15625"
"12088","3.875","3.875","3.875"
"12098","4.0625","4.0625","4.0625"
"12109","3.984375","3.984375","3.984375"
"12124","4.25","4.25","4.25"
"12160","3.921875","3.921875","3.921875"
"12217","4.09375","4.09375","4.09375"
"12229","4.4375","4.4375","4.4375"
"12283","4.5625","4.5625","4.5625"
"12335","3.546875","3.546875","3.546875"
"12337","4.15625","4.15625","4.15625"
"12345","3.765625","3.765625","3.765625"
"12413","3.6875","3.6875","3.6875"
"12429","4.1875","4.1875","4.1875"
"12452","4.03125","4.03125","4.03125"
"12539","4.1875","4.1875","4.1875"
"12543","3.890625","3.890625","3.890625"
"12567","3.9375","3.9375","3.9375"
"12574","3.84375","3.84375","3.84375"
"12608","3.796875","3.796875","3.796875"
"12643","4.5625","4.5625","4.5625"
"12684","4.15625","4.15625","4.15625"
"12704","4.1875","4.1875","4.1875"
"12717","3.890625","3.890625","3.890625"
"12774","4.15625","4.15625","4.15625"
"12779","4.3125","4.3125","4.3125"
"12791","3.828125","3.828125","3.828125"
"12849","3.875","3.875","3.875"
"12851","3.59375","3.59375","3.59375"
"12862","4.125","4.125","4.125"
"12884","4.09375","4.09375","4.09375"
"12925","4.15625","4.15625","4.15625"
"12936","3.9375","3.9375","3.9375"
"12972","3.703125","3.703125","3.703125"
"12974","4.28125","4.28125","4.28125"
"12999","4.1875","4.1875","4.1875"
"13008","4.34375","4.34375","4.34375"
"13014","3.828125","3.828125","3.828125"
"13025","3.8125","3.8125","3.8125"
"13045","4.0625","4.0625","4.0625"
"13059","4.09375","4.09375","4.09375"
"13078","3.6875","3.6875","3.6875"
"13082","4.34375","4.34375","4.34375"
"13116","4.28125","4.28125","4.28125"
"13157","4.0625","4.0625","4.0625"
"13159","3.90625","3.90625","3.90625"
"13182","3.84375","3.84375","3.84375"
"13218","3.8125","3.8125","3.8125"
"13220","4.125","4.125","4.125"
"13281","3.84375","3.84375","3.84375"
"13302","3.25","3.25","3.25"
"13323","4.21875","4.21875","4.21875"
"13344","4.09375","4.09375","4.09375"
"13366","4.53125","4.53125","4.53125"
"13377","3.59375","3.59375","3.59375"
"13381","4.125","4.125","4.125"
"13385","3.984375","3.984375","3.984375"
"13402","4.0625","4.0625","4.0625"
"13433","3.96875","3.96875","3.96875"
"13498","4.1875","4.1875","4.1875"
"13501","3.71875","3.71875","3.71875"
"13538","4.21875","4.21875","4.21875"
"13543","3.75","3.75","3.75"
"13545","4.15625","4.15625","4.15625"
"13558","4.28125","4.28125","4.28125"
"13559","4.03125","4.03125","4.03125"
"13587","4.25","4.25","4.25"
"13608","4.0625","4.0625","4.0625"
"13611","4.09375","4.09375","4.09375"
"13632","4.28125","4.28125","4.28125"
"13636","4.03125","4.03125","4.03125"
"13642","3.9375","3.9375","3.9375"
"13649","4.1875","4.1875","4.1875"
"13705","4","4","4"
"13754","4.09375","4.09375","4.09375"
"13867","4.28125","4.28125","4.28125"
"13899","4.375","4.375","4.375"
"13947","4.28125","4.28125","4.28125"
"13995","4.0625","4.0625","4.0625"
"14004","3.828125","3.828125","3.828125"
"14021","3.78125","3.78125","3.78125"
"14046","3.546875","3.546875","3.546875"
"14065","4.25","4.25","4.25"
"14096","4.4375","4.4375","4.4375"
"14126","4.0625","4.0625","4.0625"
"14137","4.21875","4.21875","4.21875"
"14139","4.1875","4.1875","4.1875"
"14143","4.1875","4.1875","4.1875"
"14177","3.796875","3.796875","3.796875"
"14188","4.125","4.125","4.125"
"14217","4.0625","4.0625","4.0625"
"14225","4.25","4.25","4.25"
"14255","3.875","3.875","3.875"
"14294","4.28125","4.28125","4.28125"
"14301","3.96875","3.96875","3.96875"
"14339","3.84375","3.84375","3.84375"
"14346","3.671875","3.671875","3.671875"
"14385","4.15625","4.15625","4.15625"
"14427","3.8125","3.8125","3.8125"
"14466","3.5","3.5","3.5"
"14487","4.03125","4.03125","4.03125"
"14510","3.59375","3.59375","3.59375"
"14531","4","4","4"
"14533","4.15625","4.15625","4.15625"
"14564","3.78125","3.78125","3.78125"
"14578","4.1875","4.1875","4.1875"
"14616","3.5625","3.5625","3.5625"
"14683","3.9375","3.9375","3.9375"
"14695","3.375","3.375","3.375"
"14712","3.671875","3.671875","3.671875"
"14716","3.796875","3.796875","3.796875"
"14736","3.484375","3.484375","3.484375"
"14757","4","4","4"
"14766","4.125","4.125","4.125"
"14767","3.75","3.75","3.75"
"14772","3.828125","3.828125","3.828125"
"14773","3.890625","3.890625","3.890625"
"14782","3.75","3.75","3.75"
"14785","3.578125","3.578125","3.578125"
"14795","3.71875","3.71875","3.71875"
"14832","4.03125","4.03125","4.03125"
"14834","3.5625","3.5625","3.5625"
"14875","3.828125","3.828125","3.828125"
"14899","4.03125","4.03125","4.03125"
"14919","3.875","3.875","3.875"
